Lender_Type,Customer_ID,Loan_ID,Loan_Type,Loan_Purpose,Loan_Amount,Interest_Rate,Loan_Term_Months,Start_Date,End_Date,Repayment_Status,NPA_Status,Pending_Amount,Non_Repayment_EMIs,Default_Date,Recovery_Status,Collateral,Guarantor,Prepayment_Option,EMI_Amount,Name,Age,Gender,Account_Type,Credit_Score,Customer_Segment,Branch_Location
Bank,C397,L564,Business Loan,Startup Funding,3421449,8.2,240,2023-05-08,2043-01-23,Ongoing,No,3421449,5,,Active,Factory,Brother,No,14256.0,Sneha Kumar,51,F,Savings,758,Corporate,Hyderabad
Bank,C422,L1511,Home Loan,Residential Property,2268478,14.1,120,2022-05-27,2032-04-04,Closed,No,0,0,,Closed,House,Mother,No,18904.0,Meera Kumar,44,F,Savings,776,Corporate,Ahmedabad
Bank,C1492,L1769,Education Loan,Overseas Study,4726700,12.4,120,2021-10-05,2031-08-14,Ongoing,No,4726700,4,,Active,None,Father,Yes,39389.0,Pooja Bansal,44,F,Savings,705,Corporate,Pune
Bank,C1118,L242,Education Loan,Higher Education,3080873,14.4,60,2024-04-02,2029-03-07,Closed,No,0,0,,Closed,None,Wife,Yes,51348.0,Anita Mehta,36,M,Savings,769,Retail,Ahmedabad
Bank,C1019,L1602,Personal Loan,Medical Expenses,1229430,14.4,60,2019-10-02,2024-09-05,Ongoing,No,1229430,5,,Active,None,Brother,No,20490.0,Shalini Nair,28,F,Current,649,Retail,Pune
Bank,C344,L98,Business Loan,Startup Funding,2339125,7.4,120,2022-09-05,2032-07-14,Ongoing,No,2339125,2,,Active,Factory,Brother,No,19493.0,Anjali Sharma,30,F,Current,722,SME,Patna
Bank,C75,L496,Car Loan,Vehicle Purchase,4674103,13.8,36,2025-04-02,2028-03-17,Closed,No,0,0,,Closed,Car,Husband,No,129836.0,Vikram Nair,30,M,Savings,733,SME,Lucknow
Bank,C665,L905,Education Loan,Higher Education,4123740,11.6,48,2019-12-21,2023-11-30,Ongoing,No,4123740,3,,Active,None,None,Yes,85911.0,Megha Verma,23,M,Current,625,SME,Chennai
Bank,C1363,L982,Home Loan,Residential Property,2248532,10.7,120,2022-11-05,2032-09-13,Ongoing,No,2248532,5,,Active,House,Brother,No,18738.0,Meera Malhotra,57,F,Savings,734,SME,Jaipur
Bank,C587,L1391,Education Loan,Higher Education,978018,7.8,120,2024-08-06,2034-06-15,Ongoing,No,978018,3,,Active,None,Mother,No,8150.0,Sunita Gupta,32,M,Current,786,Retail,Hyderabad
Bank,C257,L1684,Personal Loan,Debt Consolidation,3222881,14.1,240,2023-11-26,2043-08-13,Closed,No,0,0,,Closed,None,Father,Yes,13429.0,Anita Rao,37,M,Savings,659,Corporate,Pune
Bank,C1759,L1646,Personal Loan,Wedding Expenses,2176343,11.1,60,2019-09-07,2024-08-11,Ongoing,No,2176343,6,,Active,None,Mother,No,36272.0,Sneha Kapoor,55,M,Current,718,Corporate,Bangalore
Bank,C391,L1185,Car Loan,Vehicle Purchase,3776281,9.6,60,2020-07-13,2025-06-17,Ongoing,No,3776281,2,,Active,Car,Wife,Yes,62938.0,Sneha Patel,34,F,Savings,796,SME,Mumbai
Bank,C174,L899,Business Loan,Working Capital,2338079,12.5,120,2021-07-23,2031-06-01,Defaulted,Yes,2338079,0,2024-08-02,Recovery,Factory,Father,No,19484.0,Shalini Mehta,38,M,Current,725,SME,Patna
Bank,C1347,L1758,Personal Loan,Medical Expenses,4940734,10.4,60,2021-03-12,2026-02-14,Ongoing,No,4940734,2,,Active,None,Wife,No,82346.0,Shreya Gupta,40,F,Current,625,Corporate,Bangalore
Bank,C1424,L1042,Home Loan,Renovation,4881472,12.7,240,2022-02-21,2041-11-08,Ongoing,No,4881472,1,,Active,House,Wife,No,20339.0,Rohit Singh,53,F,Savings,658,SME,Kolkata
Bank,C587,L1246,Personal Loan,Wedding Expenses,1020161,10.4,96,2019-01-13,2026-12-02,Ongoing,No,1020161,5,,Active,None,None,Yes,10627.0,Pooja Singh,27,M,Savings,632,Corporate,Chennai
Bank,C1909,L1740,Home Loan,Renovation,789546,7.0,36,2019-08-06,2022-07-21,Ongoing,No,789546,1,,Active,House,Father,Yes,21932.0,Deepak Sharma,39,M,Current,785,Retail,Ahmedabad
Bank,C1770,L127,Personal Loan,Debt Consolidation,3754995,7.8,240,2025-11-21,2045-08-08,Ongoing,No,3754995,4,,Active,None,Mother,No,15646.0,Anjali Patel,59,F,Current,736,Corporate,Chennai
Bank,C1049,L1064,Education Loan,Higher Education,2155696,12.9,180,2022-07-20,2037-05-02,Ongoing,No,2155696,5,,Active,None,Mother,Yes,11976.0,Sneha Patel,39,M,Savings,689,Corporate,Gurugram
Bank,C1426,L1583,Car Loan,Vehicle Purchase,3967086,14.4,36,2024-10-27,2027-10-12,Ongoing,No,3967086,4,,Active,Car,Brother,No,110197.0,Pooja Nair,48,F,Current,665,SME,Hyderabad
Bank,C1317,L1586,Home Loan,Renovation,3842109,12.3,240,2022-09-08,2042-05-26,Ongoing,No,3842109,0,,Active,House,Husband,No,16009.0,Meera Kumar,56,M,Savings,755,SME,Patna
Bank,C1988,L42,Home Loan,Residential Property,3135402,14.3,60,2024-09-07,2029-08-12,Ongoing,No,3135402,1,,Active,House,Husband,Yes,52257.0,Rohit Verma,57,M,Savings,764,SME,Bangalore
Bank,C1533,L232,Education Loan,Overseas Study,4706151,12.7,48,2019-11-28,2023-11-07,Ongoing,No,4706151,1,,Active,None,Wife,No,98045.0,Anita Nair,45,M,Current,643,SME,Gurugram
Bank,C1452,L1169,Education Loan,Overseas Study,3363894,9.5,36,2023-05-25,2026-05-09,Ongoing,No,3363894,3,,Active,None,Wife,No,93442.0,Neha Sharma,56,F,Current,785,SME,Mumbai
Bank,C98,L1551,Home Loan,Residential Property,2648416,10.0,60,2024-09-28,2029-09-02,Closed,No,0,0,,Closed,House,Father,No,44140.0,Shalini Desai,44,F,Savings,702,Corporate,Jaipur
Bank,C51,L1710,Business Loan,Startup Funding,1074271,14.5,60,2025-04-30,2030-04-04,Ongoing,No,1074271,2,,Active,Factory,None,No,17905.0,Rahul Joshi,40,F,Savings,632,Retail,Lucknow
Bank,C1889,L1685,Personal Loan,Medical Expenses,4754889,7.9,180,2025-06-20,2040-04-02,Ongoing,No,4754889,5,,Active,None,Wife,No,26416.0,Sunita Kapoor,30,F,Current,742,Corporate,Kolkata
Bank,C1700,L1526,Home Loan,Residential Property,2469659,14.7,120,2019-10-09,2029-08-17,Ongoing,No,2469659,0,,Active,House,Brother,No,20580.0,Arjun Joshi,37,M,Current,723,Retail,Mumbai
Bank,C780,L108,Education Loan,Overseas Study,245393,11.7,24,2021-11-02,2023-10-23,Ongoing,No,245393,5,,Active,None,Brother,Yes,10225.0,Shalini Kumar,41,M,Savings,718,Retail,Kolkata
Bank,C865,L1124,Personal Loan,Debt Consolidation,1982292,10.9,120,2021-09-14,2031-07-24,Ongoing,No,1982292,6,,Active,None,Mother,No,16519.0,Megha Malhotra,41,M,Savings,668,Retail,Chennai
Bank,C1737,L826,Education Loan,Overseas Study,1541527,12.9,60,2020-04-25,2025-03-30,Ongoing,No,1541527,0,,Active,None,Brother,No,25692.0,Neha Malhotra,22,F,Savings,630,SME,Mumbai
Bank,C755,L1687,Personal Loan,Debt Consolidation,3040021,8.7,180,2022-05-13,2037-02-23,Ongoing,No,3040021,5,,Active,None,Brother,Yes,16889.0,Anjali Singh,57,F,Savings,700,Corporate,Delhi
Bank,C1239,L732,Business Loan,Startup Funding,4177197,12.3,120,2022-03-30,2032-02-06,Ongoing,No,4177197,2,,Active,Factory,None,No,34810.0,Vikram Rathi,57,F,Savings,622,SME,Bangalore
Bank,C1342,L1017,Car Loan,Vehicle Purchase,3862906,9.2,180,2023-06-01,2038-03-14,Ongoing,No,3862906,0,,Active,Car,None,Yes,21461.0,Anjali Desai,52,F,Savings,709,Corporate,Pune
